routeId,cost
9011001098700000,0.000000
9011001001200000,-63640.729166
9011001060900000,-9755.760000
9011001005700000,-118473.809722
9011001092500000,-141723.975000
9011001071100000,-13055.280000
9011001014200000,-40629.027778
9011001081200000,-22050.327778
9011008000900000,-74039.466667
9011001054200000,-18102.976667
9011001062600000,-3746.400000
9011001017500000,-83692.008333
9011001002800000,-96597.433333
9011001050800000,-58478.263889
9011001051300000,-21400.555556
9011001044100000,-30397.419444
9011001046900000,-27793.313889
9011001068800000,-12517.260000
9011001006900000,-41163.454167
9011001047400000,-217864.972222
9011001074000000,-126574.797222
9011001011300000,152452.870833
9011001042800000,-2632.140000
9011001082800000,-40898.511111
9011001004100000,-527493.486111
9011001090800000,-7904.680556
9011001007400000,5751.783333
9011001015500000-155X,-6503.283333
9011001019900000,-4586.400000
9011001012900000,-42077.065278
9011001050100000,-44033.069444
9011001059900000,-986.160000
9011001043000000-430X,-15443.820000
9011001061400000,-403.620000
9011001070600000,-6671.175000
9011008001400000,-46024.533333
9011001054600000,-9951.788889
9011001044500000,-76504.186111
9011001068400000,-6993.840000
9011001080700000,-132438.833056
9011001000700000,-196113.668056
9011001031500000,-5520.060000
9011001020500000,-60919.575000
9011001041600000,-10054.800000
9011001081600000,-1086.504167
9011008002600000,-27514.666667
9011001081900000,-48134.100833
9011001098700000-40D,0.000000
9011001001900000,141994.723334
9011001093000000,-97834.084722
9011001050400000-504Y,-2419.200000
9011001051700000,-71288.744444
9011001011700000,-70950.702778
9011001040200000-402X,-1134.000000
9011001044300000-443C,-9777.600000
9011001015800000,86.181944
9011001074400000,-79024.402222
9011001060500000,-39844.560000
9011001098700000-40S,0.000000
9011001060200000,-40723.200000
9011008000200000,-21989.633333
9011005090700000,-29830.013889
9011001074800000,-23862.975000
9011001080300000,-18922.269444
9011001070300000,-26303.244444
9011001082000000,-10168.584722
9011001061700000,-35748.720000
9011001044800000,-4309.200000
9011001055000000,-45735.201111
9011001059500000,0.000000
9011008001700000,-18634.933333
9011001044900000,-21092.400000
9011001050400000,-88696.770833
9011001086500000,-55251.391389
9011001006500000,-53721.026389
9011001017900000,-178599.273611
9011001005000000,-125232.787500
9011001013400000,-108585.925000
9011001031800000,-9597.879167
9011001017800000,-168918.938889
9011001043300000,-10491.173056
9011001018300000,0.000000
9011001000300000,-216626.931944
9011001022200000,-5871.600000
9011001056700000,-59350.109722
9011001006600000,-80596.826389
9011001011600000,-79325.200000
9011001030200000,-32652.638889
9011001018500000-185V,-11020.990278
9011001053700000,-12790.606667
9011001034000000,-27264.044444
9011001060600000,-32886.000000
9011001071400000,-38971.197222
9011001023800000,-46385.711111
9011001060100000,-96002.013889
9011001019200000,0.000000
9011001072300000,-26504.100000
9011001082100000,-36141.448611
9011001049100000,-15170.400000
9011001031100000,-26285.965833
9011001052800000,-35825.711111
9011001002100000,-178488.887500
9011001042400000,-1695.960000
9011001009400000,-26359.200000
9011001016300000,-74203.133333
9011001055200000-552V,-32149.022222
9011001061000000,-51473.021111
9011001015700000,775.755556
9011001070900000,-2396.132778
9011001011200000,36315.975000
9011001087300000,-109773.138889
9011001050900000,-122085.909722
9011001041100000,-7560.000000
9011001092600000,-113677.200000
9011001031100000-311E,-506.520000
9011001052600000,-61324.531944
9011001068700000,-16368.316667
9011001044400000,-79608.783333
9011001079100000,-13377.840000
9011001045800000,-9979.200000
9011001022500000,-5342.400000
9011001001100000,450679.209722
9011001015900000,-3020.894444
9011001083000000,-61004.201111
9011001017200000,-245003.627778
9011001012400000,-25002.302778
9011001068500000,-9369.508333
9011001069000000,-7660.800000
9011001063900000,-29075.760000
9011001047100000,-225757.704167
9011001071000000,-76930.306944
9011001042300000,-23358.500000
9011001019300000,0.000000
9011001000100000,-139566.773611
9011001005400000,9772.555556
9011008001300000,-45524.266667
9011001002900000,-89992.313889
9011001042400000-424V,-1607.340000
9011001040100000,-111216.694445
9011001051400000,-92092.406944
9011001082300000,-17883.372222
9011001049200000,-1209.600000
9011001069700000,-10243.800000
9011001081300000,-30315.600000
9011001008000000,0.000000
9011001062700000,-64129.800000
9011001011400000,-20705.893055
9011001042900000-429X,-16177.747222
9011001074700000,-12205.634722
9011001041300000,-38119.583333
9011001008900000,0.000000
9011001015500000,-16221.243056
9011001067000000-670X,-4149.180000
9011001008200000,0.000000
9011001000400000,69741.855555
9011001016500000,53114.529166
9011001039600000,-5090.400000
9011001030300000,-25609.458333
9011001060400000,-30150.120000
9011001041800000,-11541.600000
9011001019500000,0.000000
9011001069500000,-2407.440000
9011001030500000,-35366.595833
9011001092100000,-10889.283333
9011001051600000,-16340.313889
9011001011900000,-57335.712500
9011001018000000,-18245.244444
9011001056400000,-46173.450000
9011001016700000,32954.369444
9011005090900000,-8361.395833
9011001000600000,-159614.916667
9011001083300000,-17359.050000
9011001042800000-428X,-12841.080000
9011001043600000,-4888.477778
9011001070200000,-85631.048611
9011001017600000-176E,-529.200000
9011001029300000,-4258.800000
9011005090400000,-8820.000000
9011008000500000,-34143.200000
9011001002800000-28S,-57891.644444
9011001018500000,-1707.558333
9011001067000000,-62259.470000
9011001044600000,-38841.523611
9011001050600000,-80653.993056
9011001059200000,-3850.560000
9011001008000000-80X,0.000000
9011001017600000-176X,-23517.405556
9011001070700000,-84765.188056
9011001081500000,-24872.400000
9011001062900000,-27997.200000
9011001017700000-177E,-1386.000000
9011001093100000,-70231.505556
9011001032300000,-30821.177778
9011001054400000,-52702.690278
9011001061900000,-19649.400000
9011001068000000,-10740.240000
9011001096600000,-12650.400000
9011001033300000,-10660.466667
9011001007200000,-65648.543056
9011001012200000,44284.995833
9011001042100000,-27190.800000
9011001080500000,-34695.376667
9011001016000000,-53142.736111
9011001014700000,-28320.486111
9011001021200000,-35520.663889
9011001019000000,0.000000
9011001059000000,-6577.200000
9011001040900000,-63490.940278
9011001044300000,-77151.100000
9011001004300000,-447700.001390
9011001051100000,-11649.645833
9011001017300000,-146229.566667
9011001061200000,-7640.405000
9011001002600000,-34234.744444
9011001074200000,-75649.829167
9011001043500000-435C,-6307.064444
9011001071300000,-75287.100000
9011001016100000,-77992.083333
9011001001400000,95773.083889
9011001052700000,-20532.540000
9011001015600000,-11936.613889
9011005091400000,-1985.900000
9011001012700000,-21822.518056
9011001041400000,-116803.684722
9011001062800000,-9331.560000
9011001054000000,-94458.025000
9011001070800000,-65279.950000
9011001054600000-546V,-7600.516667
9011001005500000,-66387.773611
9011001052300000,-54443.220833
9011008001900000,-13132.000000
9011001073700000,-18444.569167
9011001017700000,-158704.188889
9011001009300000,-11264.400000
9011001082200000,-13431.600000
9011001043800000,-3213.420000
9011001096100000,-6365.100000
9011001092300000,-10131.163889
9011001079200000,-5896.800000
9011001007600000,-91821.265278
9011001095200000,-13850.677778
9011001062400000,-6188.280000
9011001032500000,-1663.200000
9011001029100000,-7308.000000
9011001046700000,-13480.740000
9011001006700000,-68314.187500
9011001069100000,-13838.160000
9011001001000000,1225168.055001
9011001015200000,-9234.562500
9011001055200000,-29337.219444
9011001041000000,-41278.944444
9011001001800000,302248.903056
9011001020400000,-34597.291667
9011001081700000,-5090.400000
9011001050300000,-20227.815278
9011001079600000,-6174.000000
9011001013500000,-40345.486111
9011001049600000,-18950.400000
9011001081800000,-32131.260000
9011001020300000,-31978.800000
9011001074900000,-5329.181944
9011001018100000,-92651.381945
9011001070400000,-55824.036111
9011001092000000,-8643.600000
9011001079500000,-13812.960000
9011001035000000,-42890.400000
9011001043400000,-10395.123333
9011001051800000,-63099.959722
9011001051900000,-57705.966667
9011001031600000,-7408.800000
9011001001700000,124972.527222
9011001016400000,-9384.156944
9011005090600000,-5387.141667
9011008000300000,0.000000
9011001044200000-442X,-20601.640278
9011001055300000-553V,-41414.440278
9011001068200000,-18824.400000
9011001089300000,-12664.260000
9011001051400000-514X,-32912.425000
9011001019700000,0.000000
9011001070500000,-36644.412500
9011001004000000,-330150.636111
9011001011500000,-24808.056944
9011001046800000,-3405.780000
9011001083100000,-54838.493611
9011006094100000,-43648.266667
9011001095300000,-8845.200000
9011001030100000,-957.600000
9011001069900000,-2588.460000
9011008002700000,0.000000
9011001004300000-43X,-64436.083333
9011001003100000,-24147.781944
9011001060700000,-75470.640000
9011001069800000,-490.140000
9011001019800000,0.000000
9011001008400000,0.000000
9011001054100000,-187084.462500
9011001061600000,-7331.100000
9011001067600000-676X,-3074.400000
9011001040500000,-61347.479167
9011001005600000,-23875.754167
9011001007500000,362.668056
9011001068300000,-16128.420000
9011001087500000,-137336.613889
9011001031700000,-12247.200000
9011001084000000,-96358.768056
9011001098200000,0.000000
9011001080200000,-123232.475000
9011001068900000,-3532.200000
9011001014400000,-5892.940278
9011001049700000,-8492.400000
9011001056000000,-7120.680000
9011008001200000,-31391.733333
9011001000200000,-179659.756945
9011001054700000,-20067.600000
9011001031200000,-251.580000
9011001051200000,-37637.520833
9011001030900000,-14377.440000
9011001054300000,-22633.326389
9011008000800000,-12256.533333
9011001002700000,-73285.420833
9011001018800000,-64129.519444
9011001070800000-708Y,-352.800000
9011005090100000,-7938.000000
9011001014300000,-57543.975000
9011008001100000,0.000000
9011001061100000,-60513.915556
9011001091200000,-80408.547222
9011001072600000,-21164.241945
9011001044200000,-79811.686111
9011001052500000-525X,-352.800000
9011001056400000-564V,-44136.526389
9011001002500000,-103123.004167
9011001073800000,-7874.796111
9011001003000000,881730.756944
9011001021100000,-8131.070833
9011001043000000,-3703.140000
9011001059100000,-22914.780000
9011001019100000,0.000000
9011001005800000,0.000000
9011001042500000,-43407.275556
9011001089000000,-10584.000000
9011005090300000,-7447.755556
9011001043900000,-1263.360000
9011001007100000,-18396.684722
9011001042900000,-3707.340000
9011001059300000,-2192.400000
9011001080600000,-33426.540000
9011001080100000,-61603.411111
9011001089200000,-6993.840000
9011001002700000-27S,-48287.331944
9011001061500000,-30641.940000
9011001018400000,-22372.209722
9011001006100000,-84057.513889
9011001013300000,23057.940278
9011001069400000,-1268.400000
9011001060800000,-5727.771944
9011001048000000,-26104.233333
9011001043500000,-2176.860000
9011001043200000,0.000000
9011001001300000,339000.686667
9011008000400000,0.000000
9011001095500000,-1108.800000
9011001046500000,-60111.095833
9011001052000000,-15170.400000
9011001011800000,-42919.880556
9011001028200000,-378.000000
9011001042000000,-12437.333333
9011001044600000-446C,-21398.595833
9011001069600000,-3008.460000
9011001009600000,-21445.200000
9011001019600000,-730.800000
9011001080400000,-12444.733333
9011001030400000,-11399.269444
9011001068100000,-5207.580000
9011005097100000,-8358.720833
9011001079400000,-5342.400000
9011001050500000,-47114.726389
9011001060400000-604X,-8626.800000
9011001007100000-71T,0.000000
9011001042200000,-118926.783333
9011001041700000,-13129.200000
9011001019400000,0.000000
9011001044700000,-11285.781944
9011001067600000,-74997.720000
9011001043700000,-5661.398333
9011001044000000,-3738.420000
9011005095100000,2625.438889
9011001020100000,-53990.126389
9011001020600000,-50074.076389
9011001081400000,-9930.333333
9011001055300000,-52666.320833
9011001059800000,-5947.200000
9011001051500000,-114459.956944
9011001017600000,-136644.512500
9011001061300000,-49921.815278
9011001005300000,-95365.255556
9011001082400000,-53928.793333
9011001014100000,12706.358333
9011001009100000,-29433.600000
9011001052500000,-11055.240000
9011001044500000-445C,-16355.162500
9011001000500000,83480.379167
9011001040200000,-96156.580556
