routeId,cost
9011001098700000,0.000000
9011001001200000,109090.191666
9011001060900000,-19357.399444
9011001005700000,-132821.718056
9011001092500000,-115790.281938
9011001071100000,-16606.543333
9011001075600000,-8048.880000
9011001014200000,-20658.137778
9011001081200000,-21052.923889
9011008000900000,-28140.000000
9011001054200000,-33717.600000
9011001062600000,-21564.206667
9011001017500000,-81214.863611
9011001002800000,-191627.077777
9011001050800000,-53634.099444
9011001051300000,-22451.724444
9011001044100000,-25358.130948
9011001046900000,-28254.542222
9011001072700000,-8796.480000
9011001068800000,-24418.800000
9011001006900000,-1688.400000
9011001047400000,-284834.340000
9011001074000000,-113496.558333
9011001011300000,169735.630278
9011001042800000,-6811.560000
9011001082800000,-36724.555278
9011001004100000,-600159.507472
9011001090800000,-8046.924722
9011001007400000,-24994.680556
9011001015500000-155X,-3630.186389
9011001019900000,0.000000
9011001012900000,-46337.378333
9011001052900000,-27064.800000
9011001050100000,-46716.886667
9011001059900000,-782.880000
9011001043000000-430X,-8840.373889
9011001061400000,-4258.800000
9011001070600000,-5749.224167
9011008001400000,-14007.210000
9011001054600000,-9459.849167
9011001044500000,-62796.611389
9011001068400000,-56318.060556
9011001080700000,-195354.299722
9011001000700000,-167199.232500
9011001031500000,-21495.600000
9011001071500000,-12574.800000
9011001055800000,-12608.400000
9011001020500000,-32501.163175
9011001041600000,-19.794832
9011001081600000,-9740.054167
9011008002600000,0.000000
9011001081900000,-43320.067242
9011001098700000-40D,0.000000
9011001098700000-40C,0.000000
9011001001900000,357478.255514
9011001053000000,-7305.060000
9011001093000000,-99721.214444
9011001050400000-504Y,0.000000
9011001051700000,-61525.591111
9011001011700000,-6541.401111
9011001040200000-402X,-1134.000000
9011001044300000-443C,-9737.731111
9011001015800000,-2772.000000
9011001074400000,-88044.306389
9011001060500000,-68869.984167
9011001098700000-40S,0.000000
9011001060200000,-39518.608333
9011008000200000,-24120.745833
9011005090700000,-29870.760000
9011001074800000,-18784.391111
9011001080300000,-11408.444445
9011001070300000,3996.084722
9011001082000000,-10677.136667
9011001061700000,-41429.863056
9011001044800000,-4222.724722
9011001055000000,-49032.161667
9011001059500000,-9171.602222
9011008001700000,-15633.333333
9011001066400000,-1310.400000
9011001044900000,-12394.950555
9011001050400000,-96699.458333
9011001086500000,-77152.109445
9011001006500000,-64430.823056
9011001017900000,-116909.199166
9011001005000000,-122013.450000
9011001013400000,-105602.764722
9011001031800000,-11324.401667
9011001017800000,-120475.840556
9011001079700000,-401.520000
9011001043300000,-39344.069722
9011001018300000,0.000000
9011001000300000,-210935.700278
9011001071900000,-15296.400000
9011001022200000,-3032.759722
9011001056700000,-58999.430278
9011001083600000,-11062.800000
9011001006600000,0.000000
9011001011600000,-38332.978888
9011001030200000,-27056.187944
9011001018500000-185V,-11395.129444
9011001083700000,-64949.220000
9011001053700000,-27601.110833
9011001034000000,-31763.345833
9011001060600000,-31578.653056
9011001071400000,-29601.580001
9011001023800000,-44965.383055
9011001060100000,-56201.421945
9011001076100000,-478.380000
9011001019200000,-9966.700000
9011001072300000,-33138.000000
9011001082100000,-30992.600834
9011001049100000,-10836.000000
9011001031100000,-29947.107222
9011001063500000,-3679.200000
9011001052800000,-38326.381945
9011001002100000,98434.048626
9011001042400000,-4158.000000
9011001009400000,-17624.397500
9011001016300000,-61335.165000
9011001055200000-552V,-2447.553889
9011001061000000,-105969.634445
9011001015700000,32625.696389
9011001070900000,-5425.560000
9011001011200000,11251.168056
9011001087300000,-96269.339667
9011001050900000,-120611.831389
9011001041100000,-7527.916667
9011001055700000,-15565.200000
9011001092600000,-96330.245288
9011001031100000-311E,-875.700000
9011001052600000,-55769.671666
9011001068700000,-44245.946111
9011001044400000,-50537.202705
9011001079100000,-16412.041389
9011001045800000,-5923.377141
9011001022500000,-1660.345556
9011001052400000,-36907.080000
9011001001100000,307761.960833
9011001015900000,-4192.259167
9011001083000000,-113722.105278
9011001017200000,-195402.520834
9011001012400000,-23260.252222
9011001068500000,-51639.950556
9011001069000000,-12214.020000
9011001063900000,-41552.008056
9011001047100000,-209500.635278
9011001071000000,-1334.073611
9011001042300000,-32043.579167
9011001019300000,-9629.736667
9011001000100000,-267233.927778
9011001005400000,-34482.621667
9011008001300000,-38002.100354
9011001002900000,-57736.445833
9011001042400000-424V,-6426.000000
9011001040100000,-107839.707222
9011001051400000,-92248.755556
9011001075300000,-4102.560000
9011001082300000,-13183.706389
9011001080900000-809C,-23713.200000
9011001049200000,-6711.899444
9011001055800000-558X,-1234.800000
9011001069700000,-13947.833611
9011001081300000,-28352.891389
9011001083500000,-65601.900000
9011001008000000,0.000000
9011001062700000,-61459.800556
9011001011400000,-26673.351111
9011001042900000-429X,-20974.026667
9011001053600000,-54456.780000
9011001074700000,-11840.533056
9011001041300000,-33459.158056
9011001008900000,0.000000
9011001015500000,-12885.922778
