routeId,cost
9011001098700000,0.000000
9011001001200000,40841.681250
9011001060900000,-19497.916667
9011001005700000,-140557.491667
9011001092500000,-126128.411679
9011001071100000,-16606.800000
9011001075600000,-8048.880000
9011001014200000,-32327.627083
9011001081200000,-22116.675000
9011008000900000,-28140.000000
9011001054200000,-33717.600000
9011001062600000,-21567.962083
9011001017500000,-83703.129167
9011001002800000,-197858.018750
9011001050800000,-58374.089583
9011001051300000,-23028.350000
9011001044100000,-26700.859073
9011001046900000,-28341.875000
9011001072700000,-8796.480000
9011001068800000,-24418.800000
9011001006900000,-1688.400000
9011001047400000,-271138.360833
9011001074000000,-117465.243750
9011001011300000,71789.018750
9011001042800000,-6811.560000
9011001082800000,-36720.614583
9011001004100000,-785554.447917
9011001090800000,-8253.997917
9011001007400000,-64653.152083
9011001015500000-155X,-7467.866667
9011001019900000,0.000000
9011001012900000,-54155.318750
9011001052900000,-27064.800000
9011001050100000,-47073.664583
9011001059900000,-782.880000
9011001043000000-430X,-10112.296250
9011001061400000,-4258.800000
9011001070600000,-7997.012500
9011008001400000,-14007.466667
9011001054600000,-9900.572917
9011001044500000,-68233.714583
9011001068400000,-56474.614583
9011001080700000,-204884.252083
9011001000700000,-174256.114583
9011001031500000,-21495.600000
9011001071500000,-12574.800000
9011001055800000,-12608.400000
9011001020500000,-38595.156388
9011001041600000,-3097.911906
9011001081600000,-34513.685417
9011008002600000,0.000000
9011001081900000,-44301.181853
9011001098700000-40D,0.000000
9011001098700000-40C,0.000000
9011001001900000,-119975.343179
9011001053000000,-7305.060000
9011001093000000,-99736.506250
9011001050400000-504Y,0.000000
9011001051700000,-71294.527084
9011001011700000,-44458.510417
9011001040200000-402X,-1134.000000
9011001044300000-443C,-9756.804167
9011001015800000,-2772.000000
9011001074400000,-90166.425000
9011001060500000,-68911.645833
9011001098700000-40S,0.000000
9011001060200000,-39813.268750
9011008000200000,-23923.550000
9011005090700000,-31447.162500
9011001074800000,-20485.062500
9011001080300000,-16732.879167
9011001070300000,-13016.537500
9011001082000000,-10778.725000
9011001061700000,-41410.139583
9011001044800000,-4253.812500
9011001055000000,-48911.487500
9011001059500000,-9172.391667
9011008001700000,-15633.333333
9011001066400000,-1310.400000
9011001044900000,-15698.958333
9011001050400000,-98244.339583
9011001086500000,-84519.025000
9011001006500000,-65615.329167
9011001017900000,-173349.216666
9011001005000000,-123028.529167
9011001013400000,-109288.495833
9011001031800000,-11533.200000
9011001017800000,-141130.368750
9011001079700000,-401.520000
9011001043300000,-39948.117083
9011001018300000,0.000000
9011001000300000,-220923.797917
9011001071900000,-15296.400000
9011001022200000,-3888.908333
9011001056700000,-60066.508333
9011001083600000,-11062.800000
9011001006600000,0.000000
9011001011600000,-56771.752083
9011001030200000,-27851.379827
9011001018500000-185V,-11742.450000
9011001083700000,-64949.220000
9011001053700000,-27783.513333
9011001034000000,-31906.481250
9011001060600000,-32125.935417
9011001071400000,-33930.429167
9011001023800000,-46036.531250
9011001060100000,-66209.962500
9011001076100000,-478.380000
9011001019200000,-9802.800000
9011001072300000,-33138.000000
9011001082100000,-34384.662500
9011001049100000,-10825.041667
9011001031100000,-31570.037083
9011001063500000,-3679.200000
9011001052800000,-39145.402083
9011001002100000,37967.145763
9011001042400000,-4158.000000
9011001009400000,-17614.027083
9011001016300000,-108853.358333
9011001055200000-552V,-14534.266667
9011001061000000,-106212.234583
9011001015700000,2594.781250
9011001070900000,-5425.560000
9011001011200000,-11566.025000
9011001087300000,-99345.181598
