routeId,cost
9011001098700000,0.000000
9011001001200000,214171.333333
9011001060900000,-19175.508333
9011001005700000,-123605.000000
9011001092500000,-105681.288591
9011001071100000,-16606.450000
9011001075600000,-8048.880000
9011001014200000,-8623.825000
9011001081200000,-19904.149999
9011008000900000,-28140.000000
9011001054200000,-33717.600000
9011001062600000,-21446.910000
9011001017500000,-77354.195833
9011001002800000,-185501.679166
9011001050800000,-48556.912500
9011001051300000,-21694.516667
9011001044100000,-23585.918146
9011001046900000,-28046.041667
9011001072700000,-8796.480000
9011001068800000,-24418.800000
9011001006900000,-1688.400000
9011001047400000,-284834.340000
9011001074000000,-104948.270833
9011001011300000,274296.570834
9011001042800000,-6811.560000
9011001082800000,-35955.812500
9011001004100000,-392320.219063
9011001090800000,-8232.150000
9011001007400000,14139.887500
9011001015500000-155X,-210.900000
9011001019900000,0.000000
9011001012900000,-37681.025000
9011001052900000,-27064.800000
9011001050100000,-45841.420833
9011001059900000,-782.880000
9011001043000000-430X,-8572.865000
9011001061400000,-4258.800000
9011001070600000,-3417.400000
9011008001400000,-14006.616667
9011001054600000,-9714.995833
9011001044500000,-62065.520834
9011001068400000,-56224.991667
9011001080700000,-182814.050000
9011001000700000,-159436.087500
9011001031500000,-21495.600000
9011001071500000,-12574.800000
9011001055800000,-12608.400000
9011001020500000,-23077.633609
9011001041600000,3903.301188
9011001081600000,13067.341667
9011008002600000,0.000000
9011001081900000,-41449.051205
9011001098700000-40D,0.000000
9011001098700000-40C,0.000000
9011001001900000,959051.694265
9011001053000000,-7305.060000
9011001093000000,-99667.983333
9011001050400000-504Y,0.000000
9011001051700000,-52081.179167
9011001011700000,33561.808333
9011001040200000-402X,-1134.000000
9011001044300000-443C,-9571.683333
9011001015800000,-2772.000000
9011001074400000,-84893.629167
9011001060500000,-68747.891667
9011001098700000-40S,0.000000
9011001060200000,-39089.591667
9011008000200000,-23381.429167
9011005090700000,-28808.850000
9011001074800000,-16524.404167
9011001080300000,-5087.587500
9011001070300000,20449.924999
9011001082000000,-10573.550000
9011001061700000,-41366.104167
9011001044800000,-4191.279167
9011001055000000,-48942.787500
9011001059500000,-9172.800000
9011008001700000,-15633.333333
9011001066400000,-1310.400000
9011001044900000,-9629.229167
9011001050400000,-94731.812500
9011001086500000,-66617.716667
9011001006500000,-63090.904167
9011001017900000,-56569.899999
9011001005000000,-118521.095833
9011001013400000,-98233.520833
9011001031800000,-10954.475000
9011001017800000,-82458.837500
9011001079700000,-401.520000
9011001043300000,-39178.106667
9011001018300000,0.000000
9011001000300000,-193895.895833
