n,e,pop
6479000,604000,8
6481000,604000,5
6482000,604000,0
6485000,604000,0
6486000,604000,11
6490000,604000,12
6491000,604000,34
6492000,604000,3
6499000,604000,8
6500000,604000,501
6501000,604000,161
6503000,604000,3
6507000,604000,15
6508000,604000,9
6509000,604000,0
6510000,604000,8
6511000,604000,6
6512000,604000,30
6513000,604000,3
6517000,604000,38
6518000,604000,3
6519000,604000,3
6520000,604000,62
6521000,604000,34
6522000,604000,13
6523000,604000,9
6527000,604000,17
6528000,604000,7
6530000,604000,3
6531000,604000,5
6532000,604000,0
6535000,604000,3
6538000,604000,3
6539000,604000,8
6540000,604000,3
6541000,604000,3
6542000,604000,4
6543000,604000,3
6544000,604000,8
6547000,604000,5
6548000,604000,28
6549000,604000,485
6550000,604000,98
6551000,604000,7
6556000,604000,12
6557000,604000,8
6558000,604000,18
6559000,604000,7
6564000,604000,0
6567000,604000,3
6569000,604000,0
6570000,604000,12
6571000,604000,0
6573000,604000,11
6576000,604000,10
6578000,604000,3
6581000,604000,9
6582000,604000,12
6583000,604000,7
6587000,604000,16
6588000,604000,14
6589000,604000,36
6590000,604000,19
6591000,604000,19
6592000,604000,19
6593000,604000,20
6594000,604000,5
6600000,604000,6
6601000,604000,3
6602000,604000,3
6603000,604000,3
6605000,604000,3
6609000,604000,5
6610000,604000,42
6611000,604000,18
6612000,604000,10
6614000,604000,22
6615000,604000,0
6616000,604000,8
6617000,604000,14
6618000,604000,9
6619000,604000,14
6620000,604000,5
6622000,604000,6
6623000,604000,6
6624000,604000,29
6626000,604000,60
6627000,604000,26
6628000,604000,15
6631000,604000,4
6632000,604000,3
6634000,604000,3
6637000,604000,0
6644000,604000,22
6645000,604000,626
6646000,604000,258
6647000,604000,150
6648000,604000,52
6649000,604000,7
6652000,604000,0
6654000,604000,14
6655000,604000,0
6656000,604000,10
6657000,604000,8
6660000,604000,0
6661000,604000,7
6662000,604000,3
6668000,604000,0
6669000,604000,0
6670000,604000,3
6671000,604000,6
6672000,604000,6
6673000,604000,9
6675000,604000,4
6684000,604000,11
6685000,604000,104
6719000,604000,5
6720000,604000,146
6721000,604000,82
6723000,604000,9
6759000,604000,4
6784000,604000,0
6785000,604000,8
6794000,604000,8
6795000,604000,230
6796000,604000,64
6797000,604000,30
6803000,604000,0
6804000,604000,39
6805000,604000,97
6806000,604000,17
6810000,604000,8
6811000,604000,3
6812000,604000,3
6813000,604000,0
6814000,604000,0
6818000,604000,16
6819000,604000,4
6821000,604000,4
6822000,604000,4
6823000,604000,38
6824000,604000,33
6825000,604000,9
